Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,5267125,6,3,611,143,517,0,101.8333333,204.3050823,137,0,47.66666667,77.42308011,143.1520991,1.708712058,658390.625,1782263.436,5068551,3,5267125,1053425.0,2293388.676,5155742,3,147713,73856.5,20331.44128,88233,59480,0,0,0,0,132,72,1.139141372,0.569570686,0,517,75.4,160.8575629,25875.15556,0,0,0,1,0,0,0,0,0,83.77777778,101.8333333,47.66666667,132,0,0,0,0,0,0,6,611,3,143,8192,38,5.0,20.0,198571.0,0.0,198571.0,198571.0,5068551.0,0.0,5068551.0,5068551.0,BENIGN
53,31068,2,2,64,198,32,32,32.0,0.0,99,99,99.0,0.0,8433.114459,128.7498391,10356.0,17931.92201,31062,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,40,64.37491953,64.37491953,32,99,58.8,36.69741135,1346.7,0,0,0,0,0,0,0,0,1,73.5,32.0,99.0,64,0,0,0,0,0,0,2,64,2,198,-1,-1,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,23824,1,1,95,177,95,95,95.0,0.0,177,177,177.0,0.0,11417.05843,83.94895903,23824.0,0.0,23824,23824,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41.97447952,41.97447952,95,177,122.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,183.5,95.0,177.0,20,0,0,0,0,0,0,1,95,1,177,-1,-1,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80,5579430,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.716919112,1859810.0,3220546.708,5578577,115,5579430,2789715.0,3944046.464,5578577,853,0,0.0,0.0,0,0,0,0,0,0,104,40,0.537689334,0.179229778,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack - Brute Force
80,5765594,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.693770668,1921864.667,3328011.227,5764721,80,5765594,2882797.0,4075656.007,5764721,873,0,0.0,0.0,0,0,0,0,0,0,104,40,0.520328001,0.173442667,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack - Brute Force
53,53209,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,6089.195437,75.17525231,17736.33333,30715.03432,53203,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,37.58762615,37.58762615,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,64,0,0,0,0,0,0,2,60,2,264,-1,-1,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,4,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,40,0,500000.0,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,0,-1,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,33909,2,2,140,304,70,70,70.0,0.0,152,152,152.0,0.0,13093.86888,117.9627827,11303.0,19572.17413,33903,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,40,58.98139137,58.98139137,70,152,102.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,128.5,70.0,152.0,64,0,0,0,0,0,0,2,140,2,304,-1,-1,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80,144732,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,13.81864411,144732.0,0.0,144732,144732,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,6.909322057,6.909322057,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,237,676,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,212,2,2,94,220,47,47,47.0,0.0,110,110,110.0,0.0,1481132.075,18867.92453,70.66666667,121.5332602,211,0,0,0.0,0.0,0,0,1,1.0,0.0,1,1,0,0,0,0,64,64,9433.962264,9433.962264,47,110,72.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,1,90.25,47.0,110.0,64,0,0,0,0,0,0,2,94,2,220,-1,-1,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
50861,2882,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6.0,0.0,17002.08189,1387.925052,960.6666667,1608.587683,2818,15,2867,1433.5,1957.978677,2818,49,0,0.0,0.0,0,0,0,0,0,0,60,20,1040.943789,346.981263,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,980,0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,23757,1,1,80,158,80,80,80.0,0.0,158,158,158.0,0.0,10018.09993,84.18571368,23757.0,0.0,23757,23757,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,42.09285684,42.09285684,80,158,106.0,45.033321,2028.0,0,0,0,0,0,0,0,0,1,159.0,80.0,158.0,32,0,0,0,0,0,0,1,80,1,158,-1,-1,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,61259,4,2,120,130,30,30,30.0,0.0,65,65,65.0,0.0,4081.032991,97.94479179,12251.8,17061.32904,35044,1,26212,8737.333333,15129.1752,26207,1,3,3.0,0.0,3,3,0,0,0,0,80,40,65.29652786,32.64826393,30,65,40.0,17.07825128,291.6666667,0,0,0,0,0,0,0,0,0,46.66666667,30.0,65.0,80,0,0,0,0,0,0,4,120,2,130,-1,-1,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,76777,4,2,132,122,33,33,33.0,0.0,61,61,61.0,0.0,3308.282428,78.14840382,15355.4,21808.46403,46593,3,30181,10060.33333,17418.9463,30174,3,3,3.0,0.0,3,3,0,0,0,0,104,40,52.09893588,26.04946794,33,61,41.0,13.66260102,186.6666667,0,0,0,0,0,0,0,0,0,47.83333333,33.0,61.0,104,0,0,0,0,0,0,4,132,2,122,-1,-1,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
33818,806,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2481.389578,806.0,0.0,806,806,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1240.694789,1240.694789,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,227,229,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,473621,1,1,57,115,57,57,57.0,0.0,115,115,115.0,0.0,363.1595727,4.22278573,473621.0,0.0,473621,473621,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,2.111392865,2.111392865,57,115,76.33333333,33.48631561,1121.333333,0,0,0,0,0,0,0,0,1,114.5,57.0,115.0,20,0,0,0,0,0,0,1,57,1,115,-1,-1,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,6946068,33,54,3091,70237,533,0,93.66666667,169.3051363,4380,0,1300.685185,915.2107258,10556.76391,12.52507174,80768.23256,545186.703,5017491,2,1928577,60268.03125,132202.5204,627924,91,6873797,129694.283,695076.1195,5017537,2,0,0,0,0,672,1088,4.75088928,7.774182458,0,4380,833.2727273,933.748763,871886.7524,0,0,0,1,0,0,0,0,1,842.8505747,93.66666667,1300.685185,672,0,0,0,0,0,0,33,3091,54,70237,8192,7327,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,302,2,2,82,152,41,41,41.0,0.0,76,76,76.0,0.0,774834.4371,13245.03311,100.6666667,131.355751,250,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,64,6622.516556,6622.516556,41,76,55.0,19.17028951,367.5,0,0,0,0,0,0,0,0,1,68.75,41.0,76.0,64,0,0,0,0,0,0,2,82,2,152,-1,-1,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
